2025-12-27 18:52:57 | INFO     | __main__:setup_logging:46 - 日志系统初始化完成
2025-12-27 18:52:57 | INFO     | __main__:crawl_website:66 - 开始爬取网站: https://www.stanford.edu
2025-12-27 18:52:57 | INFO     | __main__:crawl_website:67 - 配置 - 最大深度: 2, 最大页面数: 20
2025-12-27 18:52:59 | INFO     | browser_engine:__init__:49 - 浏览器引擎初始化完成 (类型: chrome, 无头模式: False)
2025-12-27 18:52:59 | INFO     | content_processor:__init__:45 - 内容处理器初始化完成
2025-12-27 18:52:59 | INFO     | ai_analyzer:__init__:43 - AI分析器初始化完成 (小模型: qwen3:1.7b, 大模型: qwen3:1.7b)
2025-12-27 18:52:59 | INFO     | __main__:crawl_website:86 - [1/20] 爬取URL (深度0): https://www.stanford.edu
2025-12-27 18:52:59 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu (尝试 1/3)
2025-12-27 18:53:09 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu (大小: 174278 字节)
2025-12-27 18:53:11 | DEBUG    | content_processor:_extract_links:233 - 提取了 96 个唯一链接
2025-12-27 18:53:11 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 1240, 链接数: 96
2025-12-27 18:53:11 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:53:40 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 0.85)
2025-12-27 18:53:40 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:54:40 | ERROR    | ai_analyzer:_call_ollama:102 - Ollama API超时 (模型: qwen3:1.7b)
2025-12-27 18:54:40 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/academics/
2025-12-27 18:54:40 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/research/
2025-12-27 18:54:40 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/features/research-at-stanford
2025-12-27 18:54:40 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/academics
2025-12-27 18:54:40 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/research
2025-12-27 18:54:40 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/list/research/
2025-12-27 18:54:40 | INFO     | __main__:crawl_website:86 - [2/20] 爬取URL (深度1): https://www.stanford.edu/academics/
2025-12-27 18:54:40 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu/academics/ (尝试 1/3)
2025-12-27 18:54:44 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu/academics/ (大小: 119230 字节)
2025-12-27 18:54:45 | DEBUG    | content_processor:_extract_links:233 - 提取了 68 个唯一链接
2025-12-27 18:54:45 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 1854, 链接数: 68
2025-12-27 18:54:45 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:55:03 | INFO     | __main__:crawl_website:107 - 页面分类: academic_program (置信度: 0.95)
2025-12-27 18:55:03 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:56:03 | ERROR    | ai_analyzer:_call_ollama:102 - Ollama API超时 (模型: qwen3:1.7b)
2025-12-27 18:56:03 | SUCCESS  | __main__:crawl_website:127 - 成功提取核心信息: N/A
2025-12-27 18:56:03 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:57:03 | ERROR    | ai_analyzer:_call_ollama:102 - Ollama API超时 (模型: qwen3:1.7b)
2025-12-27 18:57:03 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/academics/#main-content
2025-12-27 18:57:03 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/research/
2025-12-27 18:57:03 | DEBUG    | __main__:crawl_website:140 - 添加到队列: http://facts.stanford.edu/academics/undergraduate
2025-12-27 18:57:03 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/academics/schools/
2025-12-27 18:57:03 | DEBUG    | __main__:crawl_website:140 - 添加到队列: http://facts.stanford.edu/academics/graduate-profile
2025-12-27 18:57:03 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/list/research/
2025-12-27 18:57:03 | INFO     | __main__:crawl_website:86 - [3/20] 爬取URL (深度1): https://www.stanford.edu/research/
2025-12-27 18:57:03 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu/research/ (尝试 1/3)
2025-12-27 18:57:08 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu/research/ (大小: 128230 字节)
2025-12-27 18:57:09 | DEBUG    | content_processor:_extract_links:233 - 提取了 68 个唯一链接
2025-12-27 18:57:09 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 966, 链接数: 68
2025-12-27 18:57:09 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:57:23 | INFO     | __main__:crawl_website:107 - 页面分类: research (置信度: 0.95)
2025-12-27 18:57:23 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:58:23 | ERROR    | ai_analyzer:_call_ollama:102 - Ollama API超时 (模型: qwen3:1.7b)
2025-12-27 18:58:23 | SUCCESS  | __main__:crawl_website:127 - 成功提取核心信息: N/A
2025-12-27 18:58:23 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:59:11 | WARNING  | __main__:crawl_website:145 - 用户中断爬取
2025-12-27 18:59:11 | INFO     | browser_engine:close:299 - 浏览器已关闭
2025-12-27 18:59:11 | INFO     | __main__:crawl_website:152 - 爬取完成. 总页面数: 2, 提取数据条数: 2
2025-12-27 18:59:11 | INFO     | __main__:save_results:205 - 结果已保存到: /Users/mx/Desktop/intelligent-browser-tool/results.json
2025-12-27 18:59:11 | INFO     | __main__:save_results:209 - 输出文件大小: 27.05 KB
2025-12-27 18:59:11 | SUCCESS  | __main__:main:288 - 任务完成! 共提取 2 个页面的数据
2025-12-27 18:59:27 | INFO     | __main__:setup_logging:46 - 日志系统初始化完成
2025-12-27 18:59:27 | INFO     | __main__:crawl_website:66 - 开始爬取网站: https://www.stanford.edu
2025-12-27 18:59:27 | INFO     | __main__:crawl_website:67 - 配置 - 最大深度: 2, 最大页面数: 20
2025-12-27 18:59:30 | INFO     | browser_engine:__init__:49 - 浏览器引擎初始化完成 (类型: chrome, 无头模式: False)
2025-12-27 18:59:30 | INFO     | content_processor:__init__:45 - 内容处理器初始化完成
2025-12-27 18:59:30 | INFO     | ai_analyzer:__init__:43 - AI分析器初始化完成 (小模型: qwen3:1.7b, 大模型: qwen3:1.7b)
2025-12-27 18:59:30 | INFO     | __main__:crawl_website:86 - [1/20] 爬取URL (深度0): https://www.stanford.edu
2025-12-27 18:59:30 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu (尝试 1/3)
2025-12-27 18:59:39 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu (大小: 174276 字节)
2025-12-27 18:59:40 | DEBUG    | content_processor:_extract_links:233 - 提取了 96 个唯一链接
2025-12-27 18:59:40 | SUCCESS  | content_processor:extract_content:168 - 内容提取成功 - 文本长度: 1240, 链接数: 96
2025-12-27 18:59:40 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:59:42 | WARNING  | ai_analyzer:_parse_json_response:421 - 无法解析JSON响应: {
    "category": "general_info",
    "confidence": 1.0,
    "reasoning": "网页标题为"Stanford University"，内容主要描述了斯坦福大学的使命、历史和成就，因此可以判断这是一个关于学术信息的网页。"
}
2025-12-27 18:59:42 | INFO     | __main__:crawl_website:107 - 页面分类: general_info (置信度: 0.50)
2025-12-27 18:59:42 | DEBUG    | ai_analyzer:_call_ollama:86 - 调用Ollama模型: qwen3:1.7b
2025-12-27 18:59:45 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/faculty-staff-gateway/
2025-12-27 18:59:45 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/academics/
2025-12-27 18:59:45 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://www.stanford.edu/research/
2025-12-27 18:59:45 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/stories/2025/12/neurodiversity-human-evolution-research
2025-12-27 18:59:45 | DEBUG    | __main__:crawl_website:140 - 添加到队列: https://news.stanford.edu/stories/2025/12/science-medicine-engineering-innovations-space-medical-breakthroughs
2025-12-27 18:59:45 | INFO     | __main__:crawl_website:86 - [2/20] 爬取URL (深度1): https://www.stanford.edu/faculty-staff-gateway/
2025-12-27 18:59:45 | DEBUG    | browser_engine:fetch_page:131 - 正在获取页面: https://www.stanford.edu/faculty-staff-gateway/ (尝试 1/3)
2025-12-27 18:59:49 | SUCCESS  | browser_engine:fetch_page:156 - 成功获取页面: https://www.stanford.edu/faculty-staff-gateway/ (大小: 142768 字节)
2025-12-27 18:59:51 | DEBUG    | content_processor:_extract_links:233 - 提取了 132 个唯一链接
